Change history report
9 July 2024 - 4 August 2024
Date & time,User,Campaign,Ad group,Changes
"18 Jul 2024, 20:14:09",neilsjmcmahon@gmail.com,3.PMax,,"9 negative countries changed
  Belarus: included to excluded
  China: included to excluded
  Georgia: included to excluded
  Jordan: included to excluded
  Kazakhstan: included to excluded
  Moldova: included to excluded
  Montenegro: included to excluded
  Russia: included to excluded
  Serbia: included to excluded
67 negative countries added
  Afghanistan: negative Country is changed to excluded
  Afghanistan(excluded)
  Azerbaijan: negative Country is changed to excluded
  Azerbaijan(excluded)
  The Bahamas: negative Country is changed to excluded
  The Bahamas(excluded)
  Bahrain: negative Country is changed to excluded
  Bahrain(excluded)
  Bangladesh: negative Country is changed to excluded
  Bangladesh(excluded)
  Benin: negative Country is changed to excluded
  Benin(excluded)
  Bhutan: negative Country is changed to excluded
  Bhutan(excluded)
  Burkina Faso: negative Country is changed to excluded
  Burkina Faso(excluded)
  Burundi: negative Country is changed to excluded
  Burundi(excluded)
  Cambodia: negative Country is changed to excluded
  Cambodia(excluded)
  Cameroon: negative Country is changed to excluded
  Cameroon(excluded)
  Cabo Verde: negative Country is changed to excluded
  Cabo Verde(excluded)
  Central African Republic: negative Country is changed to excluded
  Central African Republic(excluded)
  Chad: negative Country is changed to excluded
  Chad(excluded)
  Comoros: negative Country is changed to excluded
  Comoros(excluded)
  Djibouti: negative Country is changed to excluded
  Djibouti(excluded)
  Dominican Republic: negative Country is changed to excluded
  Dominican Republic(excluded)
  Equatorial Guinea: negative Country is changed to excluded
  Equatorial Guinea(excluded)
  Eritrea: negative Country is changed to excluded
  Eritrea(excluded)
  Faroe Islands: negative Country is changed to excluded
  Faroe Islands(excluded)
  The Gambia: negative Country is changed to excluded
  The Gambia(excluded)
  Guinea: negative Country is changed to excluded
  Guinea(excluded)
  Guinea-Bissau: negative Country is changed to excluded
  Guinea-Bissau(excluded)
  Haiti: negative Country is changed to excluded
  Haiti(excluded)
  India: negative Country is changed to excluded
  India(excluded)
  Iraq: negative Country is changed to excluded
  Iraq(excluded)
  Jamaica: negative Country is changed to excluded
  Jamaica(excluded)
  Kosovo: negative Country is changed to excluded
  Kosovo(excluded)
  Kyrgyzstan: negative Country is changed to excluded
  Kyrgyzstan(excluded)
  Laos: negative Country is changed to excluded
  Laos(excluded)
  Lebanon: negative Country is changed to excluded
  Lebanon(excluded)
  Liberia: negative Country is changed to excluded
  Liberia(excluded)
  Libya: negative Country is changed to excluded
  Libya(excluded)
  Madagascar: negative Country is changed to excluded
  Madagascar(excluded)
  Malawi: negative Country is changed to excluded
  Malawi(excluded)
  Mali: negative Country is changed to excluded
  Mali(excluded)
  Marshall Islands: negative Country is changed to excluded
  Marshall Islands(excluded)
  Mauritania: negative Country is changed to excluded
  Mauritania(excluded)
  Mauritius: negative Country is changed to excluded
  Mauritius(excluded)
  Micronesia: negative Country is changed to excluded
  Micronesia(excluded)
  Morocco: negative Country is changed to excluded
  Morocco(excluded)
  Mozambique: negative Country is changed to excluded
  Mozambique(excluded)
  Namibia: negative Country is changed to excluded
  Namibia(excluded)
  Nepal: negative Country is changed to excluded
  Nepal(excluded)
  Nigeria: negative Country is changed to excluded
  Nigeria(excluded)
  North Macedonia: negative Country is changed to excluded
  North Macedonia(excluded)
  Palau: negative Country is changed to excluded
  Palau(excluded)
  Papua New Guinea: negative Country is changed to excluded
  Papua New Guinea(excluded)
  Philippines: negative Country is changed to excluded
  Philippines(excluded)
  Rwanda: negative Country is changed to excluded
  Rwanda(excluded)
  Sao Tome and Principe: negative Country is changed to excluded
  Sao Tome and Principe(excluded)
  Senegal: negative Country is changed to excluded
  Senegal(excluded)
  Sierra Leone: negative Country is changed to excluded
  Sierra Leone(excluded)
  South Africa: negative Country is changed to excluded
  South Africa(excluded)
  Sri Lanka: negative Country is changed to excluded
  Sri Lanka(excluded)
  Suriname: negative Country is changed to excluded
  Suriname(excluded)
  Tajikistan: negative Country is changed to excluded
  Tajikistan(excluded)
  Tanzania: negative Country is changed to excluded
  Tanzania(excluded)
  Timor-Leste: negative Country is changed to excluded
  Timor-Leste(excluded)
  Togo: negative Country is changed to excluded
  Togo(excluded)
  Turkmenistan: negative Country is changed to excluded
  Turkmenistan(excluded)
  Uganda: negative Country is changed to excluded
  Uganda(excluded)
  Venezuela: negative Country is changed to excluded
  Venezuela(excluded)
  Vietnam: negative Country is changed to excluded
  Vietnam(excluded)
  Yemen: negative Country is changed to excluded
  Yemen(excluded)
  Zambia: negative Country is changed to excluded
  Zambia(excluded)
  Zimbabwe: negative Country is changed to excluded
  Zimbabwe(excluded)"
"18 Jul 2024, 20:09:46",neilsjmcmahon@gmail.com,3.PMax,,"41 countries added
  Andorra
  Argentina
  Austria
  Belgium
  Bosnia and Herzegovina
  Brazil
  Bulgaria
  Chile
  Croatia
  Cyprus
  Denmark
  Ecuador
  El Salvador
  Estonia
  Finland
  Germany
  Greece
  Guatemala
  Honduras
  Hong Kong
  Hungary
  Japan
  Latvia
  Lithuania
  Luxembourg
  Malaysia
  Malta
  Mexico
  Netherlands
  Norway
  Peru
  Portugal
  Qatar
  Romania
  Saudi Arabia
  Slovakia
  Slovenia
  South Korea
  Spain
  Sweden
  Uruguay
9 negative countries changed
  negative Country: Belarus changed was excluded
  negative Country: China changed was excluded
  negative Country: Georgia changed was excluded
  negative Country: Jordan changed was excluded
  negative Country: Kazakhstan changed was excluded
  negative Country: Moldova changed was excluded
  negative Country: Montenegro changed was excluded
  negative Country: Russia changed was excluded
  negative Country: Serbia changed was excluded"
"17 Jul 2024, 00:27:09",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 negative country added
  Russia: negative Country is changed to excluded
  Russia(excluded)"
"17 Jul 2024, 00:25:30",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"1 negative country removed
  negative Country: Russia changed was excluded
  Russia(excluded)"
"17 Jul 2024, 00:23:51",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"77 negative countries added
  Afghanistan: negative Country is changed to excluded
  Afghanistan(excluded)
  Angola: negative Country is changed to excluded
  Angola(excluded)
  Azerbaijan: negative Country is changed to excluded
  Azerbaijan(excluded)
  The Bahamas: negative Country is changed to excluded
  The Bahamas(excluded)
  Bahrain: negative Country is changed to excluded
  Bahrain(excluded)
  Bangladesh: negative Country is changed to excluded
  Bangladesh(excluded)
  Benin: negative Country is changed to excluded
  Benin(excluded)
  Bhutan: negative Country is changed to excluded
  Bhutan(excluded)
  Botswana: negative Country is changed to excluded
  Botswana(excluded)
  Burkina Faso: negative Country is changed to excluded
  Burkina Faso(excluded)
  Burundi: negative Country is changed to excluded
  Burundi(excluded)
  Cambodia: negative Country is changed to excluded
  Cambodia(excluded)
  Cameroon: negative Country is changed to excluded
  Cameroon(excluded)
  Cabo Verde: negative Country is changed to excluded
  Cabo Verde(excluded)
  Central African Republic: negative Country is changed to excluded
  Central African Republic(excluded)
  Chad: negative Country is changed to excluded
  Chad(excluded)
  Comoros: negative Country is changed to excluded
  Comoros(excluded)
  Cote d'Ivoire: negative Country is changed to excluded
  Cote d'Ivoire(excluded)
  Democratic Republic of the Congo: negative Country is changed to excluded
  Democratic Republic of the Congo(excluded)
  Djibouti: negative Country is changed to excluded
  Djibouti(excluded)
  Dominican Republic: negative Country is changed to excluded
  Dominican Republic(excluded)
  Equatorial Guinea: negative Country is changed to excluded
  Equatorial Guinea(excluded)
  Eritrea: negative Country is changed to excluded
  Eritrea(excluded)
  Ethiopia: negative Country is changed to excluded
  Ethiopia(excluded)
  Faroe Islands: negative Country is changed to excluded
  Faroe Islands(excluded)
  Gabon: negative Country is changed to excluded
  Gabon(excluded)
  The Gambia: negative Country is changed to excluded
  The Gambia(excluded)
  Guinea: negative Country is changed to excluded
  Guinea(excluded)
  Guinea-Bissau: negative Country is changed to excluded
  Guinea-Bissau(excluded)
  Haiti: negative Country is changed to excluded
  Haiti(excluded)
  India: negative Country is changed to excluded
  India(excluded)
  Iraq: negative Country is changed to excluded
  Iraq(excluded)
  Jamaica: negative Country is changed to excluded
  Jamaica(excluded)
  Kenya: negative Country is changed to excluded
  Kenya(excluded)
  Kosovo: negative Country is changed to excluded
  Kosovo(excluded)
  Kyrgyzstan: negative Country is changed to excluded
  Kyrgyzstan(excluded)
  Laos: negative Country is changed to excluded
  Laos(excluded)
  Lebanon: negative Country is changed to excluded
  Lebanon(excluded)
  Liberia: negative Country is changed to excluded
  Liberia(excluded)
  Libya: negative Country is changed to excluded
  Libya(excluded)
  Madagascar: negative Country is changed to excluded
  Madagascar(excluded)
  Malawi: negative Country is changed to excluded
  Malawi(excluded)
  Mali: negative Country is changed to excluded
  Mali(excluded)
  Marshall Islands: negative Country is changed to excluded
  Marshall Islands(excluded)
  Mauritania: negative Country is changed to excluded
  Mauritania(excluded)
  Mauritius: negative Country is changed to excluded
  Mauritius(excluded)
  Micronesia: negative Country is changed to excluded
  Micronesia(excluded)
  Mozambique: negative Country is changed to excluded
  Mozambique(excluded)
  Namibia: negative Country is changed to excluded
  Namibia(excluded)
  Nepal: negative Country is changed to excluded
  Nepal(excluded)
  Nigeria: negative Country is changed to excluded
  Nigeria(excluded)
  North Macedonia: negative Country is changed to excluded
  North Macedonia(excluded)
  Pakistan: negative Country is changed to excluded
  Pakistan(excluded)
  Palau: negative Country is changed to excluded
  Palau(excluded)
  Papua New Guinea: negative Country is changed to excluded
  Papua New Guinea(excluded)
  Philippines: negative Country is changed to excluded
  Philippines(excluded)
  Rwanda: negative Country is changed to excluded
  Rwanda(excluded)
  Sao Tome and Principe: negative Country is changed to excluded
  Sao Tome and Principe(excluded)
  Senegal: negative Country is changed to excluded
  Senegal(excluded)
  Sierra Leone: negative Country is changed to excluded
  Sierra Leone(excluded)
  Somalia: negative Country is changed to excluded
  Somalia(excluded)
  South Africa: negative Country is changed to excluded
  South Africa(excluded)
  Sri Lanka: negative Country is changed to excluded
  Sri Lanka(excluded)
  Suriname: negative Country is changed to excluded
  Suriname(excluded)
  Tajikistan: negative Country is changed to excluded
  Tajikistan(excluded)
  Tanzania: negative Country is changed to excluded
  Tanzania(excluded)
  Thailand: negative Country is changed to excluded
  Thailand(excluded)
  Timor-Leste: negative Country is changed to excluded
  Timor-Leste(excluded)
  Togo: negative Country is changed to excluded
  Togo(excluded)
  Tunisia: negative Country is changed to excluded
  Tunisia(excluded)
  Turkmenistan: negative Country is changed to excluded
  Turkmenistan(excluded)
  Uganda: negative Country is changed to excluded
  Uganda(excluded)
  Venezuela: negative Country is changed to excluded
  Venezuela(excluded)
  Vietnam: negative Country is changed to excluded
  Vietnam(excluded)
  Yemen: negative Country is changed to excluded
  Yemen(excluded)
  Zambia: negative Country is changed to excluded
  Zambia(excluded)
  Zimbabwe: negative Country is changed to excluded
  Zimbabwe(excluded)
9 negative countries changed
  Belarus: included to excluded
  China: included to excluded
  Georgia: included to excluded
  Jordan: included to excluded
  Kazakhstan: included to excluded
  Moldova: included to excluded
  Montenegro: included to excluded
  Russia: included to excluded
  Serbia: included to excluded"
"16 Jul 2024, 23:44:35",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"9 negative countries changed
  negative Country: Belarus changed was excluded
  negative Country: China changed was excluded
  negative Country: Georgia changed was excluded
  negative Country: Jordan changed was excluded
  negative Country: Kazakhstan changed was excluded
  negative Country: Moldova changed was excluded
  negative Country: Montenegro changed was excluded
  negative Country: Russia changed was excluded
  negative Country: Serbia changed was excluded
38 countries added
  Andorra
  Austria
  Belgium
  Bosnia and Herzegovina
  Bulgaria
  Chile
  Croatia
  Cyprus
  Czechia
  Denmark
  Ecuador
  El Salvador
  Estonia
  Finland
  Germany
  Greece
  Guatemala
  Honduras
  Hong Kong
  Hungary
  Japan
  Latvia
  Lithuania
  Luxembourg
  Malaysia
  Malta
  Netherlands
  Norway
  Paraguay
  Peru
  Poland
  Qatar
  Romania
  Slovakia
  Slovenia
  South Korea
  Sweden
  Switzerland"
"16 Jul 2024, 12:56:04",neilsjmcmahon@gmail.com,3.PMax,,"1 country removed
  Country: Netherlands changed was included
  Netherlands"
"16 Jul 2024, 12:54:00",neilsjmcmahon@gmail.com,3.PMax,,"1 country added
  Mongolia: Country is changed to included
  Mongolia"
"16 Jul 2024, 12:43:15",neilsjmcmahon@gmail.com,,,"Customer manager link changed
  Status changed from Active to Inactive"
"15 Jul 2024, 17:55:44",neilsjmcmahon@gmail.com,2.Dsply-Rmrktng--Obs+Placmnts,,"5 countries added
  Spain: Country is changed to included
  Spain
  Ireland: Country is changed to included
  Ireland
  Italy: Country is changed to included
  Italy
  France: Country is changed to included
  France
  Portugal: Country is changed to included
  Portugal"
"9 Jul 2024, 10:45:57",neilsjmcmahon@gmail.com,,,"Customer manager link changed
  Status changed from Active to Inactive"
"9 Jul 2024, 10:45:17",neilsjmcmahon@gmail.com,,,"Customer manager link changed
  Status changed from Active to Inactive"
